"id","value","is_htg","type","layer_count","min_db_thick","max_db_thick","eval_code"
"__export__.pcb_boad_thick_1",0.018,,"板厚费",1,2,2.25,
"__export__.pcb_boad_thick_2",0.018,,"板厚费",1,2.25,2.5,
"__export__.pcb_boad_thick_3",0.04,,"板厚费",1,2.5,2.75,
"__export__.pcb_boad_thick_4",0.04,,"板厚费",1,2.75,3,
"__export__.pcb_boad_thick_5",0.06,,"板厚费",1,3,3.25,
"__export__.pcb_boad_thick_6",0,,"板厚费",1,3.25,3.5,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_7",0,,"板厚费",1,3.5,3.75,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_8",0,,"板厚费",1,3.75,4,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_9",0.018,,"板厚费",2,2,2.25,
"__export__.pcb_boad_thick_10",0.018,,"板厚费",2,2.25,2.5,
"__export__.pcb_boad_thick_11",0.04,,"板厚费",2,2.5,2.75,
"__export__.pcb_boad_thick_12",0.04,,"板厚费",2,2.75,3,
"__export__.pcb_boad_thick_13",0.06,,"板厚费",2,3,3.25,
"__export__.pcb_boad_thick_14",0,,"板厚费",2,3.25,3.5,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_15",0,,"板厚费",2,3.5,3.75,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_16",0,,"板厚费",2,3.75,4,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_17",0,,"板厚费",4,2,999,"def fn(pprice): return (pprice.info_id.finish_thick-2) * 0.1"
"__export__.pcb_boad_thick_18",0,,"板厚费",6,2.5,999,"def fn(pprice): return (pprice.info_id.finish_thick-2.5) * 0.1"
"__export__.pcb_boad_thick_19",0,,"板厚费",8,2.5,999,"def fn(pprice): return (pprice.info_id.finish_thick-2.5) * 0.1"
"__export__.pcb_boad_thick_20",0,,"板厚费",10,3,4,"def fn(pprice): return (pprice.info_id.finish_thick-3) * 0.1"
"__export__.pcb_boad_thick_21",0,,"板厚费",12,3,4,"def fn(pprice): return (pprice.info_id.finish_thick-3) * 0.1"
"__export__.pcb_boad_thick_22",0.025,,"板厚费",14,3,3.25,
"__export__.pcb_boad_thick_23",0.05,,"板厚费",14,3.25,3.5,
"__export__.pcb_boad_thick_24",0.075,,"板厚费",14,3.5,3.75,
"__export__.pcb_boad_thick_25",0.1,,"板厚费",14,3.75,4,
"__export__.pcb_boad_thick_26",0,,"板厚费",16,3,4,"def fn(pprice): return (pprice.info_id.finish_thick-3) * 0.1"
"__export__.pcb_boad_thick_27",0,,"板厚费",18,4,999,"def fn(pprice): return (pprice.info_id.finish_thick-4) * 0.1"
"__export__.pcb_boad_thick_28",0,,"板厚费",20,4,999,"def fn(pprice): return (pprice.info_id.finish_thick-4) * 0.1"
"__export__.pcb_boad_thick_29",0,,"板厚费",22,4,999,"def fn(pprice): return (pprice.info_id.finish_thick-4) * 0.1"
"__export__.pcb_boad_thick_30",0,,"板厚费",24,4,999,"def fn(pprice): return (pprice.info_id.finish_thick-4) * 0.1"
"__export__.pcb_boad_thick_31",0.01,1,"板厚费",1,0,1,
"__export__.pcb_boad_thick_32",0.02,1,"板厚费",1,1,1.6,
"__export__.pcb_boad_thick_33",0.03,1,"板厚费",1,1.6,2,
"__export__.pcb_boad_thick_34",0.058,1,"板厚费",1,2,2.25,
"__export__.pcb_boad_thick_35",0.058,1,"板厚费",1,2.25,2.5,
"__export__.pcb_boad_thick_36",0.09,1,"板厚费",1,2.5,2.75,
"__export__.pcb_boad_thick_37",0.09,1,"板厚费",1,2.75,3,
"__export__.pcb_boad_thick_38",0.12,1,"板厚费",1,3,3.25,
"__export__.pcb_boad_thick_39",0,1,"板厚费",1,3.25,3.5,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_40",0,1,"板厚费",1,3.5,3.75,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_41",0,1,"板厚费",1,3.75,4,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_42",0.01,1,"板厚费",2,0,1,
"__export__.pcb_boad_thick_43",0.02,1,"板厚费",2,1,1.6,
"__export__.pcb_boad_thick_44",0.03,1,"板厚费",2,1.6,2,
"__export__.pcb_boad_thick_45",0.058,1,"板厚费",2,2,2.25,
"__export__.pcb_boad_thick_46",0.058,1,"板厚费",2,2.25,2.5,
"__export__.pcb_boad_thick_47",0.09,1,"板厚费",2,2.5,2.75,
"__export__.pcb_boad_thick_48",0.09,1,"板厚费",2,2.75,3,
"__export__.pcb_boad_thick_49",0.12,1,"板厚费",2,3,3.25,
"__export__.pcb_boad_thick_50",0,1,"板厚费",2,3.25,3.5,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_51",0,1,"板厚费",2,3.5,3.75,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_52",0,1,"板厚费",2,3.75,4,"def fn(pprice): return 0.0"
"__export__.pcb_boad_thick_53",0.01,1,"板厚费",4,0,1,
"__export__.pcb_boad_thick_54",0.02,1,"板厚费",4,1,1.6,
"__export__.pcb_boad_thick_55",0.03,1,"板厚费",4,1.6,2,
"__export__.pcb_boad_thick_56",0.065,1,"板厚费",4,2,2.25,
"__export__.pcb_boad_thick_57",0.09,1,"板厚费",4,2.25,2.5,
"__export__.pcb_boad_thick_58",0.125,1,"板厚费",4,2.5,2.75,
"__export__.pcb_boad_thick_59",0.15,1,"板厚费",4,2.75,3,
"__export__.pcb_boad_thick_60",0.185,1,"板厚费",4,3,3.25,
"__export__.pcb_boad_thick_61",0.21,1,"板厚费",4,3.25,3.5,
"__export__.pcb_boad_thick_62",0.245,1,"板厚费",4,3.5,3.75,
"__export__.pcb_boad_thick_63",0.27,1,"板厚费",4,3.75,4,
"__export__.pcb_boad_thick_64",0.01,1,"板厚费",6,0,1,
"__export__.pcb_boad_thick_65",0.02,1,"板厚费",6,1,1.6,
"__export__.pcb_boad_thick_66",0.03,1,"板厚费",6,1.6,2,
"__export__.pcb_boad_thick_67",0.04,1,"板厚费",6,2,2.25,
"__export__.pcb_boad_thick_68",0.04,1,"板厚费",6,2.25,2.5,
"__export__.pcb_boad_thick_69",0.075,1,"板厚费",6,2.5,2.75,
"__export__.pcb_boad_thick_70",0.1,1,"板厚费",6,2.75,3,
"__export__.pcb_boad_thick_71",0.135,1,"板厚费",6,3,3.25,
"__export__.pcb_boad_thick_72",0.16,1,"板厚费",6,3.25,3.5,
"__export__.pcb_boad_thick_73",0.195,1,"板厚费",6,3.5,3.75,
"__export__.pcb_boad_thick_74",0.22,1,"板厚费",6,3.75,4,
"__export__.pcb_boad_thick_75",0.01,1,"板厚费",8,0,1,
"__export__.pcb_boad_thick_76",0.02,1,"板厚费",8,1,1.6,
"__export__.pcb_boad_thick_77",0.03,1,"板厚费",8,1.6,2,
"__export__.pcb_boad_thick_78",0.04,1,"板厚费",8,2,2.25,
"__export__.pcb_boad_thick_79",0.4,1,"板厚费",8,2.25,2.5,
"__export__.pcb_boad_thick_80",0.075,1,"板厚费",8,2.5,2.75,
"__export__.pcb_boad_thick_81",0.1,1,"板厚费",8,2.75,3,
"__export__.pcb_boad_thick_82",0.135,1,"板厚费",8,3,3.25,
"__export__.pcb_boad_thick_83",0.16,1,"板厚费",8,3.25,3.5,
"__export__.pcb_boad_thick_84",0.195,1,"板厚费",8,3.5,3.75,
"__export__.pcb_boad_thick_85",0.22,1,"板厚费",8,3.75,4,
"__export__.pcb_boad_thick_86",0.01,1,"板厚费",10,0,1,
"__export__.pcb_boad_thick_87",0.02,1,"板厚费",10,1,1.6,
"__export__.pcb_boad_thick_88",0.03,1,"板厚费",10,1.6,2,
"__export__.pcb_boad_thick_89",0.04,1,"板厚费",10,2,2.25,
"__export__.pcb_boad_thick_90",0.04,1,"板厚费",10,2.25,2.5,
"__export__.pcb_boad_thick_91",0.05,1,"板厚费",10,2.5,2.75,
"__export__.pcb_boad_thick_92",0.05,1,"板厚费",10,2.75,3,
"__export__.pcb_boad_thick_93",0.085,1,"板厚费",10,3,3.25,
"__export__.pcb_boad_thick_94",0.11,1,"板厚费",10,3.25,3.5,
"__export__.pcb_boad_thick_95",0.145,1,"板厚费",10,3.5,3.75,
"__export__.pcb_boad_thick_96",0.17,1,"板厚费",10,3.75,4,
